Sexo;Nacionalidad;Edad;Número de delitos;Periodo;Total
Total;Total;De 21 a 25 años;Total;2013;34.000
Total;Total;De 21 a 25 años;Condenados con un delito;2021;27.249
Total;Total;De 21 a 25 años;Condenados con un delito;2020;21.885
Total;Total;De 21 a 25 años;Condenados con un delito;2019;29.328
Total;Total;De 21 a 25 años;Condenados con un delito;2018;30.411
Total;Total;De 21 a 25 años;Condenados con un delito;2017;31.298
Total;Total;De 21 a 25 años;Condenados con un delito;2016;31.238
Total;Total;De 21 a 25 años;Condenados con un delito;2015;26.771
Total;Total;De 21 a 25 años;Condenados con un delito;2014;27.291
Total;Total;De 21 a 25 años;Condenados con un delito;2013;27.947
Total;Total;De 21 a 25 años;Condenados con dos delitos;2021;6.056
Total;Total;De 21 a 25 años;Condenados con dos delitos;2020;4.716
Total;Total;De 21 a 25 años;Condenados con dos delitos;2019;6.127
Total;Total;De 21 a 25 años;Condenados con dos delitos;2018;6.198
Total;Total;De 21 a 25 años;Condenados con dos delitos;2017;6.004
Total;Total;De 21 a 25 años;Condenados con dos delitos;2016;5.610
Total;Total;De 21 a 25 años;Condenados con dos delitos;2015;4.696
Total;Total;De 21 a 25 años;Condenados con dos delitos;2014;4.504
Total;Total;De 21 a 25 años;Condenados con dos delitos;2013;4.309
Total;Total;De 21 a 25 años;Condenados con tres delitos;2021;2.012
Total;Total;De 21 a 25 años;Condenados con tres delitos;2020;1.514
Total;Total;De 21 a 25 años;Condenados con tres delitos;2019;2.015
Total;Total;De 21 a 25 años;Condenados con tres delitos;2018;1.962
Total;Total;De 21 a 25 años;Condenados con tres delitos;2017;1.855
Total;Total;De 21 a 25 años;Condenados con tres delitos;2016;1.719
Total;Total;De 21 a 25 años;Condenados con tres delitos;2015;1.193
Total;Total;De 21 a 25 años;Condenados con tres delitos;2014;1.110
Total;Total;De 21 a 25 años;Condenados con tres delitos;2013;1.096
Total;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2021;1.816
Total;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2020;1.198
Total;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2019;1.792
Total;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2018;1.703
Total;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2017;1.666
Total;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2016;1.295
Total;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2015;844
Total;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2014;714
Total;Total;De 21 a 25 años;Condenados con cuatro o más delitos;2013;648
Total;Total;De 26 a 30 años;Total;2021;37.967
Total;Total;De 26 a 30 años;Total;2020;29.863
Total;Total;De 26 a 30 años;Total;2019;39.248
Total;Total;De 26 a 30 años;Total;2018;39.776
Total;Total;De 26 a 30 años;Total;2017;40.099
Total;Total;De 26 a 30 años;Total;2016;39.491
Total;Total;De 26 a 30 años;Total;2015;33.315
Total;Total;De 26 a 30 años;Total;2014;33.519
Total;Total;De 26 a 30 años;Total;2013;34.711
Total;Total;De 26 a 30 años;Condenados con un delito;2021;27.545
Total;Total;De 26 a 30 años;Condenados con un delito;2020;22.328
Total;Total;De 26 a 30 años;Condenados con un delito;2019;29.087
Total;Total;De 26 a 30 años;Condenados con un delito;2018;29.834
Total;Total;De 26 a 30 años;Condenados con un delito;2017;30.467
Total;Total;De 26 a 30 años;Condenados con un delito;2016;30.623
Total;Total;De 26 a 30 años;Condenados con un delito;2015;26.404
Total;Total;De 26 a 30 años;Condenados con un delito;2014;26.956
Total;Total;De 26 a 30 años;Condenados con un delito;2013;28.414
Total;Total;De 26 a 30 años;Condenados con dos delitos;2021;6.388
Total;Total;De 26 a 30 años;Condenados con dos delitos;2020;4.765
Total;Total;De 26 a 30 años;Condenados con dos delitos;2019;6.261
Total;Total;De 26 a 30 años;Condenados con dos delitos;2018;6.209
Total;Total;De 26 a 30 años;Condenados con dos delitos;2017;6.126
Total;Total;De 26 a 30 años;Condenados con dos delitos;2016;5.844
Total;Total;De 26 a 30 años;Condenados con dos delitos;2015;4.902
Total;Total;De 26 a 30 años;Condenados con dos delitos;2014;4.669
Total;Total;De 26 a 30 años;Condenados con dos delitos;2013;4.596
Total;Total;De 26 a 30 años;Condenados con tres delitos;2021;2.106
Total;Total;De 26 a 30 años;Condenados con tres delitos;2020;1.540
Total;Total;De 26 a 30 años;Condenados con tres delitos;2019;1.995
Total;Total;De 26 a 30 años;Condenados con tres delitos;2018;2.018
Total;Total;De 26 a 30 años;Condenados con tres delitos;2017;1.916
Total;Total;De 26 a 30 años;Condenados con tres delitos;2016;1.723
Total;Total;De 26 a 30 años;Condenados con tres delitos;2015;1.239
Total;Total;De 26 a 30 años;Condenados con tres delitos;2014;1.208
Total;Total;De 26 a 30 años;Condenados con tres delitos;2013;1.077
Total;Total;De 26 a 30 años;Condenados con cuatro o más delitos;2021;1.928
Total;Total;De 26 a 30 años;Condenados con cuatro o más delitos;2020;1.230
Total;Total;De 26 a 30 años;Condenados con cuatro o más delitos;2019;1.905
Total;Total;De 26 a 30 años;Condenados con cuatro o más delitos;2018;1.715
Total;Total;De 26 a 30 años;Condenados con cuatro o más delitos;2017;1.590
Total;Total;De 26 a 30 años;Condenados con cuatro o más delitos;2016;1.301
Total;Total;De 26 a 30 años;Condenados con cuatro o más delitos;2015;770
Total;Total;De 26 a 30 años;Condenados con cuatro o más delitos;2014;686
Total;Total;De 26 a 30 años;Condenados con cuatro o más delitos;2013;624
Total;Total;De 31 a 35 años;Total;2021;38.103
Total;Total;De 31 a 35 años;Total;2020;30.521
Total;Total;De 31 a 35 años;Total;2019;39.468
Total;Total;De 31 a 35 años;Total;2018;40.414
Total;Total;De 31 a 35 años;Total;2017;40.492
Total;Total;De 31 a 35 años;Total;2016;39.552
Total;Total;De 31 a 35 años;Total;2015;33.901
Total;Total;De 31 a 35 años;Total;2014;34.607
Total;Total;De 31 a 35 años;Total;2013;35.031
Total;Total;De 31 a 35 años;Condenados con un delito;2021;27.507
Total;Total;De 31 a 35 años;Condenados con un delito;2020;22.648
Total;Total;De 31 a 35 años;Condenados con un delito;2019;29.021
Total;Total;De 31 a 35 años;Condenados con un delito;2018;30.047
Total;Total;De 31 a 35 años;Condenados con un delito;2017;30.656
Total;Total;De 31 a 35 años;Condenados con un delito;2016;30.761
Total;Total;De 31 a 35 años;Condenados con un delito;2015;26.705
Total;Total;De 31 a 35 años;Condenados con un delito;2014;27.916
Total;Total;De 31 a 35 años;Condenados con un delito;2013;28.613
Total;Total;De 31 a 35 años;Condenados con dos delitos;2021;6.481
Total;Total;De 31 a 35 años;Condenados con dos delitos;2020;4.963
Total;Total;De 31 a 35 años;Condenados con dos delitos;2019;6.469
Total;Total;De 31 a 35 años;Condenados con dos delitos;2018;6.500
Total;Total;De 31 a 35 años;Condenados con dos delitos;2017;6.267
Total;Total;De 31 a 35 años;Condenados con dos delitos;2016;5.768
Total;Total;De 31 a 35 años;Condenados con dos delitos;2015;5.095
Total;Total;De 31 a 35 años;Condenados con dos delitos;2014;4.782
Total;Total;De 31 a 35 años;Condenados con dos delitos;2013;4.639
Total;Total;De 31 a 35 años;Condenados con tres delitos;2021;2.141
Total;Total;De 31 a 35 años;Condenados con tres delitos;2020;1.601
Total;Total;De 31 a 35 años;Condenados con tres delitos;2019;1.982
Total;Total;De 31 a 35 años;Condenados con tres delitos;2018;2.000
Total;Total;De 31 a 35 años;Condenados con tres delitos;2017;1.934
Total;Total;De 31 a 35 años;Condenados con tres delitos;2016;1.711
Total;Total;De 31 a 35 años;Condenados con tres delitos;2015;1.295
Total;Total;De 31 a 35 años;Condenados con tres delitos;2014;1.195
Total;Total;De 31 a 35 años;Condenados con tres delitos;2013;1.084
Total;Total;De 31 a 35 años;Condenados con cuatro o más delitos;2021;1.974
Total;Total;De 31 a 35 años;Condenados con cuatro o más delitos;2020;1.309
Total;Total;De 31 a 35 años;Condenados con cuatro o más delitos;2019;1.996
Total;Total;De 31 a 35 años;Condenados con cuatro o más delitos;2018;1.867
Total;Total;De 31 a 35 años;Condenados con cuatro o más delitos;2017;1.635
Total;Total;De 31 a 35 años;Condenados con cuatro o más delitos;2016;1.312
Total;Total;De 31 a 35 años;Condenados con cuatro o más delitos;2015;806
Total;Total;De 31 a 35 años;Condenados con cuatro o más delitos;2014;714
Total;Total;De 31 a 35 años;Condenados con cuatro o más delitos;2013;695
Total;Total;De 36 a 40 años;Total;2021;38.569
Total;Total;De 36 a 40 años;Total;2020;30.641
Total;Total;De 36 a 40 años;Total;2019;39.854
Total;Total;De 36 a 40 años;Total;2018;39.877
Total;Total;De 36 a 40 años;Total;2017;39.678
Total;Total;De 36 a 40 años;Total;2016;37.472
Total;Total;De 36 a 40 años;Total;2015;31.618
Total;Total;De 36 a 40 años;Total;2014;30.756
Total;Total;De 36 a 40 años;Total;2013;30.830
Total;Total;De 36 a 40 años;Condenados con un delito;2021;28.085
Total;Total;De 36 a 40 años;Condenados con un delito;2020;22.924
Total;Total;De 36 a 40 años;Condenados con un delito;2019;29.610
Total;Total;De 36 a 40 años;Condenados con un delito;2018;30.093
Total;Total;De 36 a 40 años;Condenados con un delito;2017;30.380
Total;Total;De 36 a 40 años;Condenados con un delito;2016;29.255
Total;Total;De 36 a 40 años;Condenados con un delito;2015;25.201
Total;Total;De 36 a 40 años;Condenados con un delito;2014;24.893
Total;Total;De 36 a 40 años;Condenados con un delito;2013;25.157
Total;Total;De 36 a 40 años;Condenados con dos delitos;2021;6.549
Total;Total;De 36 a 40 años;Condenados con dos delitos;2020;5.010
Total;Total;De 36 a 40 años;Condenados con dos delitos;2019;6.511
Total;Total;De 36 a 40 años;Condenados con dos delitos;2018;6.262
Total;Total;De 36 a 40 años;Condenados con dos delitos;2017;6.050
Total;Total;De 36 a 40 años;Condenados con dos delitos;2016;5.438
Total;Total;De 36 a 40 años;Condenados con dos delitos;2015;4.542
Total;Total;De 36 a 40 años;Condenados con dos delitos;2014;4.323
Total;Total;De 36 a 40 años;Condenados con dos delitos;2013;4.144
Total;Total;De 36 a 40 años;Condenados con tres delitos;2021;2.158
Total;Total;De 36 a 40 años;Condenados con tres delitos;2020;1.477
Total;Total;De 36 a 40 años;Condenados con tres delitos;2019;1.980
Total;Total;De 36 a 40 años;Condenados con tres delitos;2018;1.867
Total;Total;De 36 a 40 años;Condenados con tres delitos;2017;1.774
Total;Total;De 36 a 40 años;Condenados con tres delitos;2016;1.522
Total;Total;De 36 a 40 años;Condenados con tres delitos;2015;1.160
Total;Total;De 36 a 40 años;Condenados con tres delitos;2014;966
Total;Total;De 36 a 40 años;Condenados con tres delitos;2013;972
Total;Total;De 36 a 40 años;Condenados con cuatro o más delitos;2021;1.777
Total;Total;De 36 a 40 años;Condenados con cuatro o más delitos;2020;1.230
Total;Total;De 36 a 40 años;Condenados con cuatro o más delitos;2019;1.753
Total;Total;De 36 a 40 años;Condenados con cuatro o más delitos;2018;1.655
Total;Total;De 36 a 40 años;Condenados con cuatro o más delitos;2017;1.474
Total;Total;De 36 a 40 años;Condenados con cuatro o más delitos;2016;1.257
Total;Total;De 36 a 40 años;Condenados con cuatro o más delitos;2015;715
Total;Total;De 36 a 40 años;Condenados con cuatro o más delitos;2014;574
Total;Total;De 36 a 40 años;Condenados con cuatro o más delitos;2013;557
Total;Total;De 41 a 50 años;Total;2021;61.796
Total;Total;De 41 a 50 años;Total;2020;48.657
Total;Total;De 41 a 50 años;Total;2019;61.359
Total;Total;De 41 a 50 años;Total;2018;60.386
Total;Total;De 41 a 50 años;Total;2017;58.749
Total;Total;De 41 a 50 años;Total;2016;55.459
Total;Total;De 41 a 50 años;Total;2015;44.908
Total;Total;De 41 a 50 años;Total;2014;43.427
Total;Total;De 41 a 50 años;Total;2013;43.147
Total;Total;De 41 a 50 años;Condenados con un delito;2021;46.563
Total;Total;De 41 a 50 años;Condenados con un delito;2020;37.411
Total;Total;De 41 a 50 años;Condenados con un delito;2019;46.688
Total;Total;De 41 a 50 años;Condenados con un delito;2018;46.898
Total;Total;De 41 a 50 años;Condenados con un delito;2017;46.004
Total;Total;De 41 a 50 años;Condenados con un delito;2016;44.001
Total;Total;De 41 a 50 años;Condenados con un delito;2015;36.240
Total;Total;De 41 a 50 años;Condenados con un delito;2014;35.612
Total;Total;De 41 a 50 años;Condenados con un delito;2013;35.527
Total;Total;De 41 a 50 años;Condenados con dos delitos;2021;9.903
Total;Total;De 41 a 50 años;Condenados con dos delitos;2020;7.520
Total;Total;De 41 a 50 años;Condenados con dos delitos;2019;9.534
Total;Total;De 41 a 50 años;Condenados con dos delitos;2018;8.823
Total;Total;De 41 a 50 años;Condenados con dos delitos;2017;8.496
Total;Total;De 41 a 50 años;Condenados con dos delitos;2016;7.867
Total;Total;De 41 a 50 años;Condenados con dos delitos;2015;6.244
Total;Total;De 41 a 50 años;Condenados con dos delitos;2014;5.675
Total;Total;De 41 a 50 años;Condenados con dos delitos;2013;5.681
Total;Total;De 41 a 50 años;Condenados con tres delitos;2021;2.930
Total;Total;De 41 a 50 años;Condenados con tres delitos;2020;2.043
Total;Total;De 41 a 50 años;Condenados con tres delitos;2019;2.797
Total;Total;De 41 a 50 años;Condenados con tres delitos;2018;2.580
Total;Total;De 41 a 50 años;Condenados con tres delitos;2017;2.407
Total;Total;De 41 a 50 años;Condenados con tres delitos;2016;2.029
Total;Total;De 41 a 50 años;Condenados con tres delitos;2015;1.542
Total;Total;De 41 a 50 años;Condenados con tres delitos;2014;1.421
Total;Total;De 41 a 50 años;Condenados con tres delitos;2013;1.286
Total;Total;De 41 a 50 años;Condenados con cuatro o más delitos;2021;2.400
Total;Total;De 41 a 50 años;Condenados con cuatro o más delitos;2020;1.683
Total;Total;De 41 a 50 años;Condenados con cuatro o más delitos;2019;2.340
Total;Total;De 41 a 50 años;Condenados con cuatro o más delitos;2018;2.085
Total;Total;De 41 a 50 años;Condenados con cuatro o más delitos;2017;1.842
Total;Total;De 41 a 50 años;Condenados con cuatro o más delitos;2016;1.562
Total;Total;De 41 a 50 años;Condenados con cuatro o más delitos;2015;882
Total;Total;De 41 a 50 años;Condenados con cuatro o más delitos;2014;719
Total;Total;De 41 a 50 años;Condenados con cuatro o más delitos;2013;653
Total;Total;De 51 a 60 años;Total;2021;31.550
Total;Total;De 51 a 60 años;Total;2020;23.852
Total;Total;De 51 a 60 años;Total;2019;30.100
Total;Total;De 51 a 60 años;Total;2018;28.531
Total;Total;De 51 a 60 años;Total;2017;27.609
Total;Total;De 51 a 60 años;Total;2016;24.948
Total;Total;De 51 a 60 años;Total;2015;19.089
Total;Total;De 51 a 60 años;Total;2014;17.866
Total;Total;De 51 a 60 años;Total;2013;17.254
Total;Total;De 51 a 60 años;Condenados con un delito;2021;24.984
Total;Total;De 51 a 60 años;Condenados con un delito;2020;19.191
Total;Total;De 51 a 60 años;Condenados con un delito;2019;24.184
Total;Total;De 51 a 60 años;Condenados con un delito;2018;23.257
Total;Total;De 51 a 60 años;Condenados con un delito;2017;22.639
Total;Total;De 51 a 60 años;Condenados con un delito;2016;20.563
Total;Total;De 51 a 60 años;Condenados con un delito;2015;15.932
Total;Total;De 51 a 60 años;Condenados con un delito;2014;15.027
Total;Total;De 51 a 60 años;Condenados con un delito;2013;14.551
Total;Total;De 51 a 60 años;Condenados con dos delitos;2021;4.553
Total;Total;De 51 a 60 años;Condenados con dos delitos;2020;3.328
Total;Total;De 51 a 60 años;Condenados con dos delitos;2019;4.186
Total;Total;De 51 a 60 años;Condenados con dos delitos;2018;3.776
Total;Total;De 51 a 60 años;Condenados con dos delitos;2017;3.597
Total;Total;De 51 a 60 años;Condenados con dos delitos;2016;3.224
Total;Total;De 51 a 60 años;Condenados con dos delitos;2015;2.383
Total;Total;De 51 a 60 años;Condenados con dos delitos;2014;2.214
Total;Total;De 51 a 60 años;Condenados con dos delitos;2013;2.070
Total;Total;De 51 a 60 años;Condenados con tres delitos;2021;1.172
Total;Total;De 51 a 60 años;Condenados con tres delitos;2020;787
Total;Total;De 51 a 60 años;Condenados con tres delitos;2019;1.018
Total;Total;De 51 a 60 años;Condenados con tres delitos;2018;871
Total;Total;De 51 a 60 años;Condenados con tres delitos;2017;833
Total;Total;De 51 a 60 años;Condenados con tres delitos;2016;752
Total;Total;De 51 a 60 años;Condenados con tres delitos;2015;509
Total;Total;De 51 a 60 años;Condenados con tres delitos;2014;427
Total;Total;De 51 a 60 años;Condenados con tres delitos;2013;430
Total;Total;De 51 a 60 años;Condenados con cuatro o más delitos;2021;841
Total;Total;De 51 a 60 años;Condenados con cuatro o más delitos;2020;546
Total;Total;De 51 a 60 años;Condenados con cuatro o más delitos;2019;712
Total;Total;De 51 a 60 años;Condenados con cuatro o más delitos;2018;627
Total;Total;De 51 a 60 años;Condenados con cuatro o más delitos;2017;540
Total;Total;De 51 a 60 años;Condenados con cuatro o más delitos;2016;409
Total;Total;De 51 a 60 años;Condenados con cuatro o más delitos;2015;265
Total;Total;De 51 a 60 años;Condenados con cuatro o más delitos;2014;198
Total;Total;De 51 a 60 años;Condenados con cuatro o más delitos;2013;203
Total;Total;De 61 a 70 años;Total;2021;10.604
Total;Total;De 61 a 70 años;Total;2020;7.902
Total;Total;De 61 a 70 años;Total;2019;10.365
Total;Total;De 61 a 70 años;Total;2018;9.546
Total;Total;De 61 a 70 años;Total;2017;9.371
Total;Total;De 61 a 70 años;Total;2016;8.178
Total;Total;De 61 a 70 años;Total;2015;5.737
Total;Total;De 61 a 70 años;Total;2014;5.162
Total;Total;De 61 a 70 años;Total;2013;5.025
Total;Total;De 61 a 70 años;Condenados con un delito;2021;8.790
Total;Total;De 61 a 70 años;Condenados con un delito;2020;6.675
Total;Total;De 61 a 70 años;Condenados con un delito;2019;8.632
Total;Total;De 61 a 70 años;Condenados con un delito;2018;8.097
Total;Total;De 61 a 70 años;Condenados con un delito;2017;7.956
Total;Total;De 61 a 70 años;Condenados con un delito;2016;6.978
Total;Total;De 61 a 70 años;Condenados con un delito;2015;4.859
Total;Total;De 61 a 70 años;Condenados con un delito;2014;4.374
Total;Total;De 61 a 70 años;Condenados con un delito;2013;4.338
Total;Total;De 61 a 70 años;Condenados con dos delitos;2021;1.355
Total;Total;De 61 a 70 años;Condenados con dos delitos;2020;941
Total;Total;De 61 a 70 años;Condenados con dos delitos;2019;1.316
Total;Total;De 61 a 70 años;Condenados con dos delitos;2018;1.124
Total;Total;De 61 a 70 años;Condenados con dos delitos;2017;1.108
Total;Total;De 61 a 70 años;Condenados con dos delitos;2016;930
Total;Total;De 61 a 70 años;Condenados con dos delitos;2015;695
Total;Total;De 61 a 70 años;Condenados con dos delitos;2014;643
Total;Total;De 61 a 70 años;Condenados con dos delitos;2013;548
Total;Total;De 61 a 70 años;Condenados con tres delitos;2021;287
Total;Total;De 61 a 70 años;Condenados con tres delitos;2020;177
Total;Total;De 61 a 70 años;Condenados con tres delitos;2019;256
Total;Total;De 61 a 70 años;Condenados con tres delitos;2018;198
Total;Total;De 61 a 70 años;Condenados con tres delitos;2017;211
Total;Total;De 61 a 70 años;Condenados con tres delitos;2016;177
Total;Total;De 61 a 70 años;Condenados con tres delitos;2015;117
Total;Total;De 61 a 70 años;Condenados con tres delitos;2014;95
Total;Total;De 61 a 70 años;Condenados con tres delitos;2013;93
Total;Total;De 61 a 70 años;Condenados con cuatro o más delitos;2021;172
Total;Total;De 61 a 70 años;Condenados con cuatro o más delitos;2020;109
Total;Total;De 61 a 70 años;Condenados con cuatro o más delitos;2019;161
Total;Total;De 61 a 70 años;Condenados con cuatro o más delitos;2018;127
Total;Total;De 61 a 70 años;Condenados con cuatro o más delitos;2017;96
Total;Total;De 61 a 70 años;Condenados con cuatro o más delitos;2016;93
Total;Total;De 61 a 70 años;Condenados con cuatro o más delitos;2015;66
Total;Total;De 61 a 70 años;Condenados con cuatro o más delitos;2014;50
Total;Total;De 61 a 70 años;Condenados con cuatro o más delitos;2013;46
Total;Total;71 y más años;Total;2021;3.428
Total;Total;71 y más años;Total;2020;2.533
Total;Total;71 y más años;Total;2019;3.338
Total;Total;71 y más años;Total;2018;3.150
Total;Total;71 y más años;Total;2017;3.030
Total;Total;71 y más años;Total;2016;2.619
Total;Total;71 y más años;Total;2015;1.546
Total;Total;71 y más años;Total;2014;1.328
Total;Total;71 y más años;Total;2013;1.270
Total;Total;71 y más años;Condenados con un delito;2021;2.945
Total;Total;71 y más años;Condenados con un delito;2020;2.205
Total;Total;71 y más años;Condenados con un delito;2019;2.858
Total;Total;71 y más años;Condenados con un delito;2018;2.734
Total;Total;71 y más años;Condenados con un delito;2017;2.671
Total;Total;71 y más años;Condenados con un delito;2016;2.309
Total;Total;71 y más años;Condenados con un delito;2015;1.377
Total;Total;71 y más años;Condenados con un delito;2014;1.168
Total;Total;71 y más años;Condenados con un delito;2013;1.104
Total;Total;71 y más años;Condenados con dos delitos;2021;382
Total;Total;71 y más años;Condenados con dos delitos;2020;274
Total;Total;71 y más años;Condenados con dos delitos;2019;376
Total;Total;71 y más años;Condenados con dos delitos;2018;322
Total;Total;71 y más años;Condenados con dos delitos;2017;285
Total;Total;71 y más años;Condenados con dos delitos;2016;249
Total;Total;71 y más años;Condenados con dos delitos;2015;134
Total;Total;71 y más años;Condenados con dos delitos;2014;130
Total;Total;71 y más años;Condenados con dos delitos;2013;122
Total;Total;71 y más años;Condenados con tres delitos;2021;69
Total;Total;71 y más años;Condenados con tres delitos;2020;31
Total;Total;71 y más años;Condenados con tres delitos;2019;64
Total;Total;71 y más años;Condenados con tres delitos;2018;67
Total;Total;71 y más años;Condenados con tres delitos;2017;49
Total;Total;71 y más años;Condenados con tres delitos;2016;36
Total;Total;71 y más años;Condenados con tres delitos;2015;23
Total;Total;71 y más años;Condenados con tres delitos;2014;20
Total;Total;71 y más años;Condenados con tres delitos;2013;26
Total;Total;71 y más años;Condenados con cuatro o más delitos;2021;32
Total;Total;71 y más años;Condenados con cuatro o más delitos;2020;23
Total;Total;71 y más años;Condenados con cuatro o más delitos;2019;40
